#count	mode	opcode	ext	mnemonic	rm
433	16	D2	/5	?	r
407	16	81	/1	?	r
393	16	80	/6	?	m
386	32	D1	/5	?	m
372	32	EA	-	?	r
371	16	0F 01	/2	?	m
329	16	F7	/5	?	m
325	32	B7	-	?	r
311	16	0F A8	-	?	r
309	16	0F B3	-	?	m
307	16	0F B4	-	?	m
293	16	0F B5	-	?	m
282	32	0F B4	-	?	m
280	32	9B	-	?	r
278	32	0F A2	-	?	r
274	32	B6	-	?	r
256	32	C0	/5	?	m
237	32	0F 89	-	?	r
229	16	14	-	?	r
225	16	69	-	?	m
217	16	1A	-	?	m
210	16	0F BA	/5	?	r
208	16	0F 89	-	?	r
202	16	80	/3	?	m
202	32	0F BA	/0	?	m
201	32	C4	-	?	m
200	16	C0	/4	?	r
198	32	81	/5	?	m
180	32	C5	-	?	m
165	16	35	-	?	r
162	16	D2	/7	?	r
159	16	C0	/2	?	r
158	32	96	-	?	r
155	16	0F BA	/6	?	r
154	32	CA	-	?	r
153	16	0F 94	/0	?	r
140	16	E1	-	?	r
140	32	DD	/6	?	m
139	32	0F AE	/0	?	m
139	32	0F AE	/1	?	m
131	16	20	-	?	m
120	32	80	/2	?	r
120	16	D2	/1	?	m
119	16	F7	/7	?	m
115	32	C1	/5	?	m
110	32	0F B3	-	?	r
109	32	0F A3	-	?	r
101	16	ED	-	?	r
100	16	F6	/4	?	m
99	32	28	-	?	m
99	16	21	-	?	m
99	32	81	/2	?	r
98	16	81	/6	?	m
97	32	80	/6	?	r
93	32	0F BD	-	?	r
85	32	11	-	?	m
85	32	9A	-	?	r
83	16	71	-	?	r
80	32	0F 98	/0	?	r
68	32	80	/3	?	r
65	16	C1	/2	?	r
58	16	D2	/4	?	r
55	16	6D	-	?	r
51	32	5C	-	?	r
50	32	54	-	?	r
39	32	0F 97	/0	?	r
32	16	D1	/4	?	m
25	16	0F AB	-	?	m
19	16	0F A3	-	?	r
17	32	D0	/2	?	m
15	16	08	-	?	r
15	16	0F 92	/0	?	r
15	16	0F 93	/0	?	r
15	32	83	/6	?	m
13	16	28	-	?	m
13	16	F7	/3	?	m
13	32	D1	/7	?	m
13	32	D3	/7	?	m
12	32	6C	-	?	r
12	32	0F 23	-	?	r
11	16	00	-	?	r
10	32	08	-	?	r
9	16	0F BA	/4	?	r
9	32	0F BA	/5	?	r
8	32	6B	-	?	m
8	32	D1	/2	?	m
6	16	15	-	?	r
6	16	1C	-	?	r
6	16	C1	/5	?	m
6	32	19	-	?	m
6	32	F7	/2	?	m
5	32	30	-	?	r
5	16	63	-	?	r
5	32	DB	/4	?	r
5	32	F7	/5	?	r
4	16	54	-	?	r
4	16	5C	-	?	r
4	16	2F	-	?	r
4	16	81	/5	?	m
4	16	DB	/4	?	r
4	16	0F BA	/5	?	m
4	16	0F BC	-	?	m
4	32	0F 00	/2	?	r
4	16	D0	/1	?	m
3	16	21	-	?	r
3	16	4C	-	?	r
3	16	6C	-	?	r
3	16	6E	-	?	r
3	16	C0	/7	?	r
3	16	19	-	?	m
3	16	0F 00	/5	?	r
3	32	C0	/2	?	r
3	32	D9	/7	?	m
3	32	DD	/0	?	m
3	32	0F 96	/0	?	r
2	32	0F 09	-	?	r
2	32	0F C8	-	?	r
2	16	18	-	?	m
2	16	1D	-	?	r
2	16	82	/0	?	m
2	16	D9	/5	?	r
2	16	D9	/7	?	m
2	16	DC	/1	?	m
2	16	DC	/5	?	m
2	16	DC	/6	?	m
2	16	DD	/0	?	m
2	16	DD	/7	?	m
2	16	DE	/3	?	r
2	16	DF	/4	?	r
2	16	F6	/3	?	m
2	16	F6	/6	?	m
2	16	0F BA	/0	?	m
2	32	BC	-	?	r
2	32	0F 00	/3	?	r
2	32	0F 21	-	?	r
2	32	0F BB	-	?	m
2	16	F6	/7	?	r
2	32	C0	/0	?	r
2	32	D5	-	?	r
2	32	D9	/5	?	r
2	32	D9	/5	?	m
2	32	DC	/1	?	m
2	32	DC	/3	?	m
2	32	DC	/5	?	m
2	32	DC	/6	?	m
2	32	DD	/3	?	m
2	32	DF	/4	?	r
2	32	F6	/7	?	r
2	32	0F 01	/1	?	m
1	16	6F	-	?	r
1	16	C1	/7	?	m
1	16	D2	/0	?	r
1	16	DA	/0	?	m
1	16	DC	/0	?	m
1	16	FF	/7	?	r
1	32	80	/6	?	m
1	32	D3	/0	?	r
1	32	FF	/5	?	m
1	16	0F FF	-	?	r
1	32	81	/3	?	r
1	32	D3	/5	?	m
1	32	D4	-	?	r
1	32	0F 00	/0	?	r
1	32	0F 00	/1	?	r
1	32	0F 9E	/0	?	r
