bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
e99bfdffff              ,   32,   5,   547539,  0,   0,   4,   4,    ,      , jmp_rel    , jmp_rel               , rel=0xfffffd9b@8:32                                                                       , branch=3        , 8 + p.osz*8      ,  40,      1, jmp 0xFFFFFDA0
e912ffffff              ,   32,   5,   547539,  0,   0,   4,   4,    ,      , jmp_rel    , jmp_rel               , rel=0xffffff12@8:32                                                                       , branch=3        , 8 + p.osz*8      ,  40,      1, jmp 0xFFFFFF17
b801000000              ,   32,   5,   546751,  0,   0,   4,   4,    ,      , mov_riv    , mov_riv               , opreg=0;immz=0x1@8:32                                                                     , load_imm=2      , 8 + p.osz*8      ,  40,      1, "mov eax, 1                              "
b83e7c0f00              ,   32,   5,   546751,  0,   0,   4,   4,    ,      , mov_riv    , mov_riv               , opreg=0;immz=0xf7c3e@8:32                                                                 , load_imm=2      , 8 + p.osz*8      ,  40,      1, "mov eax, 0xF7C3E                        "
60                      ,   32,   1,   544408,  0,   0,   4,   4,    ,      , pusha      , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , pusha
8b442408                ,   32,   4,   532857,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=sib_d8,mod=1,reg=0,rm=4,b=4,s=0,disp=8@24:8};w=1                              ", move=2          , @modrm8          ,  32,      1, "mov eax, [esp+8]                        "
8b442404                ,   32,   4,   532857,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=sib_d8,mod=1,reg=0,rm=4,b=4,s=0,disp=4@24:8};w=1                              ", move=2          , @modrm8          ,  32,      1, "mov eax, [esp+4]                        "
50                      ,   16,   1,   528846,  0,   0,   2,   2,    ,      , push_r     , push_r                , opreg=0                                                                                   , stack=1         , 8                ,   8,      1, push ax
40                      ,   32,   1,   522266,  0,   0,   4,   4,    ,      , inc_r      , inc_r                 , opreg=0                                                                                   , alu=1           , 8                ,   8,      1, inc eax
8b1d200b0f00            ,   32,   6,   518558,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=abs32,mod=0,reg=3,rm=5,disp=985888@16:32};w=1                                 ", move=2          , @modrm8          ,  48,      1, "mov ebx, [0xF0B20]                      "
8b1d50850f00            ,   32,   6,   518558,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=abs32,mod=0,reg=3,rm=5,disp=1017168@16:32};w=1                                ", move=2          , @modrm8          ,  48,      1, "mov ebx, [0xF8550]                      "
83fef0                  ,   32,   3,   510349,  0,   0,   4,   4,    ,      , cmp_mis    , cmp_mis               , "modrm8{kind=reg_direct,mod=3,reg=7,rm=6};imm8=0xf0@16:8                                   ", alu=4           , @modrm8 + 8      ,  24,      1, "cmp esi, 0xFFFFFFF0                     "
83fe34                  ,   32,   3,   510349,  0,   0,   4,   4,    ,      , cmp_mis    , cmp_mis               , "modrm8{kind=reg_direct,mod=3,reg=7,rm=6};imm8=0x34@16:8                                   ", alu=4           , @modrm8 + 8      ,  24,      1, "cmp esi, 0x34                           "
